Value
9830
10450
10220
9940
10010
9980
10040
9830
9770
9960
10010
9940
10080
9950
10130
9930
10030
10020
10030
9770
10180
9900
9920
9910
10060
10210
9960
9970
9860
9880
9920
9860
9940
10020
9830
9850
10370
10100
9990
9970
10000
9970
10020
10010
9980
9880
9940
9970
9710
10140
9910
9960
9980
10100
10050
10060
10100
9960
9870
10110
10060
10190
10010
9920
10010
10080
9820
10010
10190
9900
9830
10220
9760
10130
9960
10030
9860
10050
9950
10270
